Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_QBLP617-IW,63.1048,-134.7978,180.0,bottom
D2,LED,LED_QBLP617-IW,75.1048,-134.7978,180.0,bottom
D3,LED,LED_QBLP617-IW,87.1642,-134.8232,180.0,bottom
D4,LED,LED_QBLP617-IW,99.1048,-134.7978,180.0,bottom
